frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
170,0.2256,13.3298,10.7542,10.0710,0.0088,10.7198,0.3165,0.1064,24.7325
171,0.1546,13.3225,0.0301,7.8669,0.0079,0.0014,0.2288,0.0735,13.8093
172,0.1298,12.6473,8.5223,14.5225,0.0071,8.4933,0.2680,0.0825,21.6499
173,0.2686,18.0865,6.0637,5.4060,0.0092,6.0196,0.3408,0.0802,24.8398
174,0.1636,16.3591,0.0330,6.5340,0.0071,0.0018,0.3446,0.1187,17.0191
175,0.1895,20.7135,0.0360,4.9188,0.0092,0.0012,0.2777,0.0870,21.3037
176,0.1764,12.7749,7.8392,10.1856,0.0107,7.7980,0.3191,0.0778,21.1873
177,0.1781,18.3499,0.0810,9.4364,0.0213,0.0054,0.5392,0.1627,19.3108
178,0.4698,13.9279,0.0791,4.7587,0.0198,0.0023,0.6882,0.1719,15.3370
179,0.3860,13.9785,0.0418,4.8198,0.0087,0.0016,0.3545,0.1028,14.8636
180,0.3019,14.3861,0.0368,4.9166,0.0088,0.0017,0.2674,0.0770,15.0693
181,0.1541,17.7729,3.5357,4.8162,0.0132,3.4855,0.3513,0.0943,21.9084
182,0.2663,13.0778,19.5942,11.6903,0.0145,19.5365,0.4382,0.1028,33.4793
183,0.2396,10.9038,0.0376,8.2119,0.0099,0.0022,0.2351,0.0926,11.5088
184,0.2347,11.4452,19.1992,8.4966,0.0139,19.1525,0.3447,0.0978,31.3216
185,0.1711,10.6195,0.0326,11.2505,0.0075,0.0018,0.2718,0.0710,11.1659
186,0.2315,12.8237,3.4403,5.1824,0.0140,3.4020,0.2797,0.0794,16.8546
187,0.1523,21.7523,0.0330,7.1354,0.0089,0.0016,0.3004,0.0885,22.3264
188,0.2788,12.7131,9.5175,10.8097,0.0109,9.4744,0.2850,0.0697,22.8641
189,0.2059,15.8917,0.0333,8.5450,0.0081,0.0020,0.2930,0.0795,16.5034
190,0.2522,12.9471,7.7770,10.6867,0.0064,7.7480,0.2988,0.0777,21.3528
191,0.1978,16.8863,0.0339,9.2003,0.0099,0.0017,0.2786,0.0790,17.4756
192,0.2536,12.7419,9.0105,7.1804,0.0137,8.9633,0.4789,0.1480,22.6329
193,0.2097,13.7811,0.0500,7.9334,0.0114,0.0024,0.3838,0.1093,14.5340
194,0.2836,12.3048,8.8460,6.3164,0.0400,8.7314,0.4406,0.1190,21.9941
195,0.1920,15.4000,0.0905,8.8610,0.0261,0.0025,5.3512,0.2075,21.2412
196,0.2536,13.4960,0.2274,4.7718,0.0249,0.0034,0.7466,0.3769,15.1005
197,0.2545,15.3337,0.0896,4.7525,0.0239,0.0027,0.5867,0.1562,16.4208
198,0.2257,17.0781,0.0426,5.0125,0.0130,0.0017,0.3269,0.0883,17.7616
199,0.5348,20.9352,0.0911,4.8451,0.0246,0.0023,0.6635,0.1869,22.4115
200,0.5853,16.2995,0.0960,4.7464,0.0265,0.0026,3.6355,0.1964,20.8128
