frame,trace_ms,gather_ms,net_wall_ms,net_gpu_ms,net_commit_ms,net_wait_ms,demod_ms,present_ms,total_ms
169,21.0229,1.7819,0.0198,5.1686,0.0042,0.0013,0.1356,0.0896,23.0498
170,17.6643,1.9900,7.8295,5.5310,0.0058,7.8066,0.2710,0.0689,27.8237
171,14.4522,1.7887,0.0228,6.6155,0.0058,0.0013,0.1614,0.0964,16.5215
172,14.2796,1.9043,6.3157,11.8377,0.0067,6.2889,0.2284,0.0425,22.7705
173,23.6090,2.0492,0.0310,5.2848,0.0067,0.0048,0.2603,0.0699,26.0195
174,12.8226,2.0155,12.1273,13.2585,0.0064,12.1009,0.2814,0.0984,27.3452
175,13.4593,1.7875,0.0174,8.5051,0.0041,0.0013,0.1214,0.0695,15.4550
176,18.6217,1.9556,2.0802,5.3458,0.0062,2.0564,0.2194,0.0767,22.9536
177,20.8971,1.7263,0.0232,6.3735,0.0051,0.0013,0.1821,0.0647,22.8935
178,21.5382,1.7872,0.0254,13.6446,0.0049,0.0013,0.1404,0.0739,23.5650
179,19.5755,3.3388,0.0290,13.8181,0.0058,0.0010,0.2118,0.0735,23.2287
180,17.9753,1.8542,2.5514,5.3302,0.0065,2.5299,0.2095,0.0999,22.6902
181,20.2593,1.7985,0.0237,6.8145,0.0083,0.0015,0.1543,0.0967,22.3325
182,13.7331,1.9143,10.6019,5.5782,0.0059,10.5696,0.3662,0.0849,26.7004
183,14.7348,1.8968,0.0405,8.0545,0.0060,0.0021,0.1699,0.0575,16.8995
184,13.6546,2.0211,8.2909,9.3523,0.0129,8.2542,0.2772,0.0856,24.3294
185,17.1787,1.8932,0.0270,9.8413,0.0049,0.0013,0.2055,0.0748,19.3793
186,21.2086,1.8853,0.0276,5.5280,0.0070,0.0014,0.1973,0.0874,23.4062
187,22.8034,1.8525,0.0189,5.1476,0.0033,0.0013,0.1443,0.0603,24.8793
188,20.0895,1.8203,2.4297,13.6477,0.0076,2.4050,0.2057,0.0884,24.6337
189,16.7707,4.0813,0.0334,6.1697,0.0088,0.0015,0.2339,0.0763,21.1955
190,22.1176,1.8975,0.0315,12.7935,0.0076,0.0015,0.2110,0.0949,24.3525
191,21.5382,1.8917,0.0292,5.0859,0.0060,0.0013,0.1832,0.0834,23.7258
192,22.0334,1.8084,0.0243,5.6670,0.0052,0.0020,0.1683,0.1002,24.1347
193,21.1732,1.8241,0.0442,9.5647,0.0115,0.0015,0.3100,0.0995,23.4509
194,21.6124,1.8753,0.0247,5.4420,0.0061,0.0013,0.2171,0.0711,23.8006
195,21.3955,1.7291,0.0188,5.0983,0.0047,0.0016,0.1410,0.0742,23.3586
196,18.5840,1.8534,2.2459,5.3589,0.0073,2.2208,0.2517,0.0777,23.0127
197,20.8060,1.6781,0.0195,6.6320,0.0064,0.0013,0.1330,0.0785,22.7150
198,18.2989,1.7538,2.2184,5.2596,0.0077,2.1953,0.1967,0.0670,22.5347
199,20.0292,1.6835,0.0178,6.2100,0.0040,0.0017,0.1236,0.1653,22.0195
200,14.4378,1.9608,9.6643,14.2214,0.0066,9.6353,0.3258,0.0935,26.4822
201,15.2990,1.9448,0.0328,9.3883,0.0072,0.0015,0.2622,0.0693,17.6080
202,21.3384,1.7344,0.0212,5.3693,0.0044,0.0016,0.1628,0.0845,23.3413
203,22.1036,1.7205,0.0221,5.2046,0.0051,0.0015,0.1673,0.0892,24.1027
204,12.0772,1.9879,12.4886,13.4226,0.0057,12.4572,0.2881,0.0837,26.9254
205,12.5461,1.8010,0.0276,6.4075,0.0065,0.0019,0.2226,0.0928,14.6902
206,17.6005,1.8502,1.9605,5.4880,0.0065,1.9340,0.2205,0.0857,21.7173
207,19.6058,1.9460,0.0250,6.1375,0.0057,0.0015,0.1960,0.0877,21.8605
208,14.1595,2.0984,5.6237,5.6341,0.0069,5.5915,0.3297,0.0828,22.2940
209,17.6825,2.0839,0.0332,8.2587,0.0071,0.0055,0.2170,0.0832,20.0998
210,13.6065,2.1521,8.3456,5.4633,0.0081,8.3089,0.3357,0.0939,24.5337
211,15.4900,1.7705,0.0238,8.3690,0.0047,0.0015,0.1640,0.1077,17.5560
212,21.0197,1.8825,0.0223,11.6102,0.0054,0.0014,0.1681,0.0687,23.1613
